title;genres;imdb_score;;;;;;;;;;
Five Came Back: The Reference Films;['documentation'];;;;;;;;;;;
Rocky;['drama', 'sport'];8.1;;;;;;;;;;
Grease;['romance', 'comedy'];7.2;;;;;;;;;;
The Sting;['crime', 'drama', 'comedy', 'music'];8.3;;;;;;;;;;
Rocky II;['drama', 'sport'];7.3;;;;;;;;;;
Monty Python and the Holy Grail;['fantasy', 'comedy'];8.2;;;;;;;;;;
Animal House;['comedy'];7.4;;;;;;;;;;
Monty Python's Flying Circus;['comedy', 'european'];8.8;;;;;;;;;;
Life of Brian;['comedy'];8.0;;;;;;;;;;
White Christmas;['comedy', 'music', 'romance'];7.5;;;;;;;;;;
Heroes;['drama', 'comedy', 'romance'];6.0;;;;;;;;;;
Play Misty for Me;['drama', 'thriller'];6.9;;;;;;;;;;
Cairo Station;['drama', 'comedy', 'crime'];7.5;;;;;;;;;;
Richard Pryor: Live in Concert;['comedy', 'documentation'];8.1;;;;;;;;;;
Bandie;['drama', 'romance', 'action'];4.8;;;;;;;;;;
Prince;['romance'];6.8;;;;;;;;;;
FTA;['comedy', 'documentation', 'music'];6.4;;;;;;;;;;
Monty Python's Fliegender Zirkus;['comedy'];8.1;;;;;;;;;;
Hitler: A Career;['documentation', 'history', 'european'];7.5;;;;;;;;;;
Amrapali;['fantasy'];6.7;;;;;;;;;;
Alibaba Aur 40 Chor;['drama', 'action', 'romance', 'fantasy', 'family'];6.2;;;;;;;;;;
Manoranjan;['romance', 'comedy', 'drama'];6.5;;;;;;;;;;
Professor;['drama', 'comedy', 'romance'];6.9;;;;;;;;;;
Khoon Khoon;['crime', 'drama', 'thriller'];5.3;;;;;;;;;;
Saladin the Victorious;['drama', 'history', 'romance', 'war', 'action'];7.6;;;;;;;;;;
The Other Side of the Mountain;['drama', 'romance'];6.4;;;;;;;;;;
Dark Waters;['drama', 'romance', 'thriller'];6.7;;;;;;;;;;
The Blazing Sun;['drama', 'crime', 'romance'];7.4;;;;;;;;;;
The Return of the Prodigal Son;['drama', 'crime'];7.1;;;;;;;;;;
Alexandria… Why?;['drama'];7.3;;;;;;;;;;
Salaakhen;['thriller', 'action'];5.8;;;;;;;;;;
The Land;['drama'];8.0;;;;;;;;;;
Elaan;['action', 'thriller', 'drama'];5.8;;;;;;;;;;
Whispers;['documentation'];7.8;;;;;;;;;;
Lal Patthar;['drama'];6.1;;;;;;;;;;
Seinfeld;['comedy'];8.9;;;;;;;;;;
Top Gun;['drama', 'action'];6.9;;;;;;;;;;
Road House;['action', 'thriller'];6.7;;;;;;;;;;
Rocky IV;['drama', 'sport'];6.8;;;;;;;;;;
Labyrinth;['fantasy', 'family', 'european'];7.3;;;;;;;;;;
Rocky III;['drama', 'sport'];6.8;;;;;;;;;;
Fletch;['comedy', 'crime', 'thriller'];6.9;;;;;;;;;;
The 'Burbs;['thriller', 'comedy'];6.8;;;;;;;;;;
Rocky V;['drama', 'sport'];5.3;;;;;;;;;;
Twins;['comedy', 'crime'];6.1;;;;;;;;;;
Out of Africa;['drama', 'romance'];7.1;;;;;;;;;;
Parenthood;['comedy', 'drama'];7.1;;;;;;;;;;
Thomas & Friends;['animation', 'family', 'fantasy', 'music', 'drama', 'comedy', 'action', 'war'];6.5;;;;;;;;;;
Legal Eagles;['comedy', 'romance', 'crime'];6.0;;;;;;;;;;
She's Gotta Have It;;;;;;;;;;;;
Strange Voices;['drama'];6.2;;;;;;;;;;
Fireman Sam;['comedy', 'animation', 'family', 'crime', 'european'];6.1;;;;;;;;;;
In Defense of a Married Man;['drama', 'crime'];5.5;;;;;;;;;;
The Four Seasons;['romance', 'comedy', 'drama'];6.8;;;;;;;;;;
